Timestamp,Soil Moisture (%),Light Intensity (%),Humidity (%),Temperature (C)
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,25%,24C
2024-12-13 20:48,62%,26%,24%,24C
2024-12-13 20:48,62%,26%,24%,24C
2024-12-13 20:48,62%,26%,24%,24C
2024-12-13 20:48,62%,26%,24%,24C
2024-12-13 20:48,62%,26%,24%,24C
2024-12-13 20:48,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,25%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,61%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:49,62%,26%,24%,24C
2024-12-13 20:50,62%,26%,24%,24C
2024-12-13 20:50,62%,26%,24%,24C
2024-12-13 20:50,62%,26%,24%,24C
2024-12-13 20:50,62%,26%,24%,24C
2024-12-13 20:50,64%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,63%,26%,24%,24C
2024-12-13 20:50,62%,26%,24%,24C
2024-12-13 20:50,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,62%,26%,24%,24C
2024-12-13 20:51,61%,26%,24%,24C
2024-12-13 20:51,61%,26%,24%,24C
2024-12-13 20:51,61%,26%,24%,24C
2024-12-13 20:51,61%,26%,24%,24C
2024-12-13 20:51,61%,26%,24%,24C
2024-12-13 20:51,61%,26%,24%,24C
2024-12-13 20:51,61%,26%,24%,24C
2024-12-13 20:52,61%,26%,24%,24C
